NAME                       INSTALLED                 FIXED-IN                  TYPE       VULNERABILITY        SEVERITY 
glibc-langpack-en          2.26-34.amzn2             2.26-61.amzn2             rpm        ALAS-2022-1857       Medium    
glibc-langpack-en          2.26-34.amzn2             2.26-62.amzn2             rpm        ALAS-2022-1869       Medium    
glibc-minimal-langpack     2.26-34.amzn2             2.26-36.amzn2             rpm        ALAS-2020-1517       Medium    
glibc-minimal-langpack     2.26-34.amzn2             2.26-40.amzn2             rpm        ALAS-2021-1599       High      
glibc-minimal-langpack     2.26-34.amzn2             2.26-41.amzn2             rpm        ALAS-2021-1605       High      
glibc-minimal-langpack     2.26-34.amzn2             2.26-42.amzn2             rpm        ALAS-2021-1615       Medium    
glibc-minimal-langpack     2.26-34.amzn2             2.26-47.amzn2             rpm        ALAS-2021-1656       Medium    
glibc-minimal-langpack     2.26-34.amzn2             2.26-53.amzn2             rpm        ALAS-2021-1703       Medium    
glibc-minimal-langpack     2.26-34.amzn2             2.26-57.amzn2             rpm        ALAS-2022-1736       Low       
glibc-minimal-langpack     2.26-34.amzn2             2.26-58.amzn2             rpm        ALAS-2022-1767       Medium    
glibc-minimal-langpack     2.26-34.amzn2             2.26-61.amzn2             rpm        ALAS-2022-1857       Medium    
glibc-minimal-langpack     2.26-34.amzn2             2.26-62.amzn2             rpm        ALAS-2022-1869       Medium    
gnupg2                     2.0.22-5.amzn2.0.4        2.0.22-5.amzn2.0.5        rpm        ALAS-2022-1834       Medium    
gzip                       1.5-10.amzn2              1.5-10.amzn2.0.1          rpm        ALAS-2022-1782       High      
krb5-libs                  1.15.1-37.amzn2.2.2       1.15.1-37.amzn2.2.3       rpm        ALAS-2022-1845       Medium    
krb5-libs                  1.15.1-37.amzn2.2.2       1.15.1-37.amzn2.2.4       rpm        ALAS-2022-1738       Medium    
krb5-libs                  1.15.1-37.amzn2.2.2       1.15.1-55.amzn2.2.5       rpm        ALAS-2023-1915       High      
libblkid                   2.30.2-2.amzn2.0.4        2.30.2-2.amzn2.0.10       rpm        ALAS-2022-1901       Medium    
libblkid                   2.30.2-2.amzn2.0.4        2.30.2-2.amzn2.0.9        rpm        ALAS-2022-1878       Medium    
libcom_err                 1.42.9-12.amzn2.0.2       1.42.9-19.amzn2           rpm        ALAS-2020-1509       Medium    
libcom_err                 1.42.9-12.amzn2.0.2       1.42.9-19.amzn2.0.1       rpm        ALAS-2022-1884       Medium    
libcrypt                   2.26-34.amzn2             2.26-36.amzn2             rpm        ALAS-2020-1517       Medium    
libcrypt                   2.26-34.amzn2             2.26-40.amzn2             rpm        ALAS-2021-1599       High      
libcrypt                   2.26-34.amzn2             2.26-41.amzn2             rpm        ALAS-2021-1605       High      
libcrypt                   2.26-34.amzn2             2.26-42.amzn2             rpm        ALAS-2021-1615       Medium    
libcrypt                   2.26-34.amzn2             2.26-47.amzn2             rpm        ALAS-2021-1656       Medium    
